Title,Call_No,Authors,Row
"Business research methods / Alan, Bell, Emma Bryman,",001.42 BRY;1 R,Bryman  Alan  Bell  Emma ,1
"Business research methods / Alan, Bell, Emma Bryman,",001.42 BRY;2 R1,Bryman  Alan  Bell  Emma ,1
"Business research methods / Alan, Bell, Emma Bryman,",001.42 BRY;3,Bryman  Alan  Bell  Emma ,1
"Business research methods / Alan, Bell, Emma Bryman,",001.42 BRY;4,Bryman  Alan  Bell  Emma ,1
"Business research methods / Alan, Bell, Emma Bryman,",001.42 BRY;5,Bryman  Alan  Bell  Emma ,1
"Business research methods / Alan, Bell, Emma Bryman,",001.42 BRY;6,Bryman  Alan  Bell  Emma ,1
Research methodology: concepts and cases,001.42 CHA;1 R,Chawla  Deepak  Sondhi  Neena ,1
Research methodology: concepts and cases,001.42 CHA;2 R1,Chawla  Deepak  Sondhi  Neena ,1
Research methodology: concepts and cases,001.42 CHA;3,Chawla  Deepak  Sondhi  Neena ,1
Research methodology: concepts and cases,001.42 CHA;4,Chawla  Deepak  Sondhi  Neena ,1
Research methodology: concepts and cases,001.42 CHA;5,Chawla  Deepak  Sondhi  Neena ,1
Research methodology: concepts and cases,001.42 CHA;6,Chawla  Deepak  Sondhi  Neena ,1
Research methodology: concepts and cases,001.42 CHA;7,Chawla  Deepak  Sondhi  Neena ,1
Research methodology: concepts and cases,001.42 CHA;8,Chawla  Deepak  Sondhi  Neena ,1
Business Research Method,001.42 COO;1 R,Cooper  Donald R  Schindler  Pamela S ,1
Business Research Method,001.42 COO;10,Cooper  Donald R  Schindler  Pamela S ,1
Business Research Method,001.42 COO;11,Cooper  Donald R  Schindler  Pamela S ,1
Business Research Method,001.42 COO;12,Cooper  Donald R  Schindler  Pamela S ,1
Business research methods,001.42 COO;13 R,Cooper  Donald R  Schindler  Pamela S  Sharma  J K ,1
Business research methods,001.42 COO;14,Cooper  Donald R  Schindler  Pamela S  Sharma  J K ,1
Business research methods,001.42 COO;15,Cooper  Donald R  Schindler  Pamela S  Sharma  J K ,1
Business research methods,001.42 COO;16,Cooper  Donald R  Schindler  Pamela S  Sharma  J K ,1
Business research methods,001.42 COO;17,Cooper  Donald R  Schindler  Pamela S  Sharma  J K ,1
Business Research Method,001.42 COO;2 R1,Cooper  Donald R  Schindler  Pamela S ,1
Business Research Method,001.42 COO;3,Cooper  Donald R  Schindler  Pamela S ,1
Business Research Method,001.42 COO;4,Cooper  Donald R  Schindler  Pamela S ,1
Business Research Method,001.42 COO;5,Cooper  Donald R  Schindler  Pamela S ,1
Business Research Method,001.42 COO;6,Cooper  Donald R  Schindler  Pamela S ,1
Business Research Method,001.42 COO;7,Cooper  Donald R  Schindler  Pamela S ,1
Business Research Method,001.42 COO;8,Cooper  Donald R  Schindler  Pamela S ,1
Business Research Method,001.42 COO;9,Cooper  Donald R  Schindler  Pamela S ,1
"R&D collaboration on trial:the microelectronics and computer technology corporation / David,V Gibson.Everett M.Rogers",001.42 GIB;1 R,Gibson  David V  Rogers Everett M ,1
Business research methods,001.42 GUP;1 R,Gupta  S L  Gupta  Hitesh ,1
Business research methods,001.42 GUP;2 R1,Gupta  S L  Gupta  Hitesh ,1
Business research methods,001.42 GUP;3,Gupta  S L  Gupta  Hitesh ,1
"Business research projects : a solution-oriented approach / Keizer, Jimme. Kempen,Piet",001.42 KEI;1 R,Keizer  Jimme  Kempen Piet,1
"Business research projects : a solution-oriented approach / Keizer, Jimme. Kempen,Piet",001.42 KEI;2 R1,Keizer  Jimme  Kempen Piet,1
"Research methodology : methods and techniques / C R Kothari,",001.42 KOT;1 R,Kothari  C R,1
"Research methodology : methods and techniques / C R Kothari,",001.42 KOT;10,Kothari  C R ,1
Research methodology : methods and techniques,001.42 KOT;11,Kothari  C R ,1
Research methodology : methods and techniques,001.42 KOT;12,Kothari  C R ,1
Research methodology : methods and techniques,001.42 KOT;13 R,Kothari  C R ,1
Research methodology : methods and techniques,001.42 KOT;14,Kothari  C R ,1
"Research methodology : methods and techniques / C R Kothari,",001.42 KOT;2 R1,Kothari  C R,1
"Research methodology : methods and techniques / C R Kothari,",001.42 KOT;3,Kothari  C R,1
"Research methodology : methods and techniques / C R Kothari,",001.42 KOT;4,Kothari  C R,1
"Research methodology : methods and techniques / C R Kothari,",001.42 KOT;5,Kothari  C R,1
"Research methodology : methods and techniques / C R Kothari,",001.42 KOT;6,Kothari  C R,1
"Research methodology : methods and techniques / C R Kothari,",001.42 KOT;7,Kothari  C R,1
"Research methodology : methods and techniques / C R Kothari,",001.42 KOT;8,Kothari  C R,1
"Research methodology : methods and techniques / C R Kothari,",001.42 KOT;9,Kothari  C R,1
"Methodology of research in social sciences / O R, Ranganatham, M Krishnaswami,",001.42 KRI;1 R,Krishnaswami  O R  Ranganatham  M,1
Methodology of research in social sciences,001.42 KRI;10,Krishnaswami  O R  Ranganatham  M ,1
"Methodology of research in social sciences / O R, Ranganatham, M Krishnaswami,",001.42 KRI;2 R1,Krishnaswami  O R  Ranganatham  M,1
"Methodology of research in social sciences / O R, Ranganatham, M Krishnaswami,",001.42 KRI;3,Krishnaswami  O R  Ranganatham  M,1
"Methodology of research in social sciences / O R, Ranganatham, M Krishnaswami,",001.42 KRI;4,Krishnaswami  O R  Ranganatham  M,1
Methodology of research in social sciences,001.42 KRI;5 R,Krishnaswami  O R  Ranganatham  M ,1
Methodology of research in social sciences,001.42 KRI;6 R1,Krishnaswami  O R  Ranganatham  M ,1
Methodology of research in social sciences,001.42 KRI;7,Krishnaswami  O R  Ranganatham  M ,1
Methodology of research in social sciences,001.42 KRI;8,Krishnaswami  O R  Ranganatham  M ,1
Methodology of research in social sciences,001.42 KRI;9,Krishnaswami  O R  Ranganatham  M ,1
Research methods,001.42 MUN;1 R,Munishi  M M  Reddy  Gayathri K ,1
Research methods,001.42 MUN;2,Munishi  M M  Reddy  Gayathri K ,1
Research methods,001.42 MUN;3,Munishi  M M  Reddy  Gayathri K ,1
"Business research methods / Murthy,S N , Bhojanna U",001.42 MUR;1 R,Murthy S N   Bhojanna U,1
Business research methods,001.42 MUR;10,Murthy  S N   Bhojanna  U ,1
Business research methods,001.42 MUR;11,Murthy  S N   Bhojanna  U ,1
Business research methods,001.42 MUR;12,Murthy  S N   Bhojanna  U ,1
"Business research methods / Murthy,S N , Bhojanna U",001.42 MUR;2 R1,Murthy S N   Bhojanna U,1
"Business research methods / Murthy,S N , Bhojanna U",001.42 MUR;3,Murthy S N   Bhojanna U,1
"Business research methods / Murthy,S N , Bhojanna U",001.42 MUR;4,Murthy S N   Bhojanna U,1
"Business research methods / Murthy,S N , Bhojanna U",001.42 MUR;5,Murthy S N   Bhojanna U,1
"Business research methods / Murthy,S N , Bhojanna U",001.42 MUR;6,Murthy S N   Bhojanna U,1
Business research methods,001.42 MUR;7 R,Murthy  S N   Bhojanna  U ,1
Business research methods,001.42 MUR;8 R1,Murthy  S N   Bhojanna  U ,1
Business research methods,001.42 MUR;9,Murthy  S N   Bhojanna  U ,1
Research Methodology,001.42 PAN;1 R,Panneerselvam  R,1
Research Methodology,001.42 PAN;2 R,Panneerselvam  R ,1
Research Methodology,001.42 PAN;3,Panneerselvam  R ,1
Research Methodology,001.42 PAN;4,Panneerselvam  R ,1
Research Methodology,001.42 PAN;5,Panneerselvam  R ,1
Business research methodology,001.42 SAC;1 R,Sachdeva  J K ,1
Business research methodology,001.42 SAC;2 R1,Sachdeva  J K ,1
Business research methodology,001.42 SAC;3,Sachdeva  J K ,1
Research methods for engineers,001.42 THI;1 R,Thiel  David V ,1
"Research methods / William M K Trochim,",001.42 TRO;1 R,Trochim  William M K,1
"Research methods / William M K Trochim,",001.42 TRO;2 R1,Trochim  William M K,1
Research methods for business : a skill-building approach,001.42 UMA;1 R,Uma Sekaran  Bougie  Roger ,1
Research methods for business : a skill-building approach,001.42 UMA;2 R1,Uma Sekaran  Bougie  Roger ,1
Research methods for business : a skill-building approach,001.42 UMA;3,Uma Sekaran  Bougie  Roger ,1
Research methods for business : a skill-building approach,001.42 UMA;4,Uma Sekaran  Bougie  Roger ,1
Research methods for business : a skill-building approach,001.42 UMA;5,Uma Sekaran  Bougie  Roger ,1
Research methods for business : a skill-building approach,001.42 UMA;6,Uma Sekaran  Bougie  Roger ,1
Research methods for business : a skill-building approach,001.42 UMA;7 R,Uma Sekaran  Bougie  Roger ,1
Research methods for business : a skill-building approach,001.42 UMA;8,Uma Sekaran  Bougie  Roger ,1
Business research methods,001.42 ZIK;1 R,Zikmund  William G,1
"Business research methods / William G. Zikmund,",001.42 ZIK;2 R,Zikmund  William G ,1
"Business research methods / William G. Zikmund,",001.42 ZIK;3 R1,Zikmund  William G ,1
"Business research methods / William G. Zikmund,",001.42 ZIK;4,Zikmund  William G ,1
Business research methods,001.42 ZIK;5 R,Zikmund  William G  Babin  Barry J  Carr  Jon C  [et  al ],1
Business research methods,001.42 ZIK;6,Zikmund  William G  Babin  Barry J  Carr  Jon C  [et  al ],1
Business research methods,001.42 ZIK;7,Zikmund  William G  Babin  Barry J  Carr  Jon C  [et  al ],1
Operations research,001.424 ANI;1 R,Anitha  H S ,1
Operations research,001.424 ANI;2 R1,Anitha  H S ,1
Operations research,001.424 ANI;3,Anitha  H S ,1
Theory and problems of operations research,001.424 BRO;1 R,Bronson  Richard  Naadimuthu  Govindasami ,1
Theory and problems of operations research,001.424 BRO;1 R1,Bronson  Richard  Naadimuthu  Govindasami ,1
Theory and problems of operations research,001.424 BRO;2,Bronson  Richard  Naadimuthu  Govindasami ,1
Operation Research,001.424 BRO;2 R1,Bronson  Richard  Naadimuthu  Govindasami ,1
Operation Research,001.424 BRO;3,Bronson  Richard  Naadimuthu  Govindasami ,1
Operation Research,001.424 BRO;4,Bronson  Richard  Naadimuthu  Govindasami ,1
Operation Research,001.424 BRO;5,Bronson  Richard  Naadimuthu  Govindasami ,1
Theory and problems of operations research,001.424 BRO;8,Bronson  Richard  Naadimuthu  Govindasami ,1
"Operations research Methods :related production, distribution, and inventory management applications / Craven,B D.Sardar M N Islam,",001.424 CRA;1 R,Craven B D Sardar M N Islam ,1
"Operations research Methods :related production, distribution, and inventory management applications / Craven,B D.Sardar M N Islam,",001.424 CRA;2 R1,Craven B D Sardar M N Islam ,1
"Operations research: an introduction / Taha, Hamdy A.",001.424 FAH;10,Taha  Hamdy A,1
"Operations research: an introduction / Taha, Hamdy A.",001.424 FAH;2 R1,Taha  Hamdy A,1
"Operations research: an introduction / Taha, Hamdy A.",001.424 FAH;3,Taha  Hamdy A,1
"Operations research: an introduction / Taha, Hamdy A.",001.424 FAH;4,Taha  Hamdy A,1
"Operations research: an introduction / Taha, Hamdy A.",001.424 FAH;5,Taha  Hamdy A,1
"Operations research: an introduction / Taha, Hamdy A.",001.424 FAH;6 R1,Taha  Hamdy A,1
"Operations research: an introduction / Taha, Hamdy A.",001.424 FAH;7,Taha  Hamdy A,1
"Operations research: an introduction / Taha, Hamdy A.",001.424 FAH;8,Taha  Hamdy A,1
"Operations research: an introduction / Taha, Hamdy A.",001.424 FAH;9,Taha  Hamdy A,1
"Operations research for VTU B.E VI Sem / Goud,N Pradeep Kumar.Swathi, G",001.424 GUP;1 R,Goud N Pradeep Kumar Swathi  G,1
"Problems in operations research (principles and solutions): for engineering, computer science, commerce, management, economics, statistics, mathematics, C.A, I.C.W.A, C.S. Also useful for I.A.S and other competitive examinations",001.424 GUP;1 R,Gupta  Prem Kumar  Hira  D S ,1
"Problems in operations research (principles and solutions): for engineering, computer science, commerce, management, economics, statistics, mathematics, C.A, I.C.W.A, C.S. Also useful for I.A.S and other competitive examinations",001.424 GUP;2 R1,Gupta  Prem Kumar  Hira  D S ,1
"Operations research: for engineering, computer science, commerce and management, economics, statistics, mathematics, CA, ICWA, CS, also useful for IAS and other competitive examinations",001.424 GUP1;1 R,Gupta  Prem Kumar  Hira  D S ,1
"Operations research: for engineering, computer science, commerce and management, economics, statistics, mathematics, CA, ICWA, CS, also useful for IAS and other competitive examinations",001.424 GUP1;10,Gupta  Prem Kumar  Hira  D S ,1
"Operations research: for engineering, computer science, commerce and management, economics, statistics, mathematics, CA, ICWA, CS, also useful for IAS and other competitive examinations",001.424 GUP1;11,Gupta  Prem Kumar  Hira  D S ,1
"Operations research: for engineering, computer science, commerce and management, economics, statistics, mathematics, CA, ICWA, CS, also useful for IAS and other competitive examinations",001.424 GUP1;12,Gupta  Prem Kumar  Hira  D S ,1
"Operations research: for engineering, computer science, commerce and management, economics, statistics, mathematics, CA, ICWA, CS, also useful for IAS and other competitive examinations",001.424 GUP1;13,Gupta  Prem Kumar  Hira  D S ,1
"Operations research: for engineering, computer science, commerce and management, economics, statistics, mathematics, CA, ICWA, CS, also useful for IAS and other competitive examinations",001.424 GUP1;2 R1,Gupta  Prem Kumar  Hira  D S ,1
"Operations research: for engineering, computer science, commerce and management, economics, statistics, mathematics, CA, ICWA, CS, also useful for IAS and other competitive examinations",001.424 GUP1;3,Gupta  Prem Kumar  Hira  D S ,1
"Operations research: for engineering, computer science, commerce and management, economics, statistics, mathematics, CA, ICWA, CS, also useful for IAS and other competitive examinations",001.424 GUP1;4,Gupta  Prem Kumar  Hira  D S ,1
"Operations research: for engineering, computer science, commerce and management, economics, statistics, mathematics, CA, ICWA, CS, also useful for IAS and other competitive examinations",001.424 GUP1;5,Gupta  Prem Kumar  Hira  D S ,1
"Operations research: for engineering, computer science, commerce and management, economics, statistics, mathematics, CA, ICWA, CS, also useful for IAS and other competitive examinations",001.424 GUP1;6,Gupta  Prem Kumar  Hira  D S ,1
"Operations research: for engineering, computer science, commerce and management, economics, statistics, mathematics, CA, ICWA, CS, also useful for IAS and other competitive examinations",001.424 GUP1;7,Gupta  Prem Kumar  Hira  D S ,1
"Operations research: for engineering, computer science, commerce and management, economics, statistics, mathematics, CA, ICWA, CS, also useful for IAS and other competitive examinations",001.424 GUP1;8,Gupta  Prem Kumar  Hira  D S ,1
"Operations research: for engineering, computer science, commerce and management, economics, statistics, mathematics, CA, ICWA, CS, also useful for IAS and other competitive examinations",001.424 GUP1;9,Gupta  Prem Kumar  Hira  D S ,1
Operations research,001.424 HIL;1 R,Hillier  Frederick S  Lieberman  Gerald J ,1
"Introduction to operations research : concepts and cases / Frederick S. Lieberman, Gerald J Hillier,",001.424 HIL;1 R,Hiller  Frederick S  Lieberman  Gerald J ,1
"Introduction to operations research : concepts and cases / Frederick S. Lieberman, Gerald J Hillier,",001.424 HIL;10,Hiller  Frederick S  Lieberman  Gerald J ,1
"Introduction to operations research : concepts and cases / Frederick S. Lieberman, Gerald J Hillier,",001.424 HIL;11,Hiller  Frederick S  Lieberman  Gerald J ,1
"Introduction to operations research : concepts and cases / Frederick S. Lieberman, Gerald J Hillier,",001.424 HIL;12,Hiller  Frederick S  Lieberman  Gerald J ,1
"Introduction to operations research : concepts and cases / Frederick S. Lieberman, Gerald J Hillier,",001.424 HIL;13,Hiller  Frederick S  Lieberman  Gerald J ,1
Introduction to operations research,001.424 HIL;14 R,Hiller  Frederick S  Lieberman  Gerald J  Nag  Bodhibrata ,1
Introduction to operations research,001.424 HIL;15 R1,Hiller  Frederick S  Lieberman  Gerald J  Nag  Bodhibrata ,1
Introduction to operations research,001.424 HIL;16,Hiller  Frederick S  Lieberman  Gerald J  Nag  Bodhibrata ,1
Introduction to operations research,001.424 HIL;17,Hiller  Frederick S  Lieberman  Gerald J  Nag  Bodhibrata ,1
Introduction to operations research,001.424 HIL;18,Hiller  Frederick S  Lieberman  Gerald J  Nag  Bodhibrata ,1
Introduction to operations research,001.424 HIL;19,Hiller  Frederick S  Lieberman  Gerald J  Nag  Bodhibrata ,1
Operations research,001.424 HIL;2 R1,Hillier  Frederick S  Lieberman  Gerald J ,1
"Introduction to operations research : concepts and cases / Frederick S. Lieberman, Gerald J Hillier,",001.424 HIL;2 R1,Hiller  Frederick S  Lieberman  Gerald J ,1
Introduction to operations research,001.424 HIL;20,Hiller  Frederick S  Lieberman  Gerald J  Nag  Bodhibrata ,1
Introduction to operations research,001.424 HIL;21,Hiller  Frederick S  Lieberman  Gerald J  Nag  Bodhibrata ,1
Introduction to operations research,001.424 HIL;22,Hiller  Frederick S  Lieberman  Gerald J  Nag  Bodhibrata ,1
Introduction to operations research,001.424 HIL;23,Hiller  Frederick S  Lieberman  Gerald J  Nag  Bodhibrata ,1
Introduction to operations research,001.424 HIL;24,Hiller  Frederick S  Lieberman  Gerald J  Nag  Bodhibrata ,1
Operations research,001.424 HIL;3,Hillier  Frederick S  Lieberman  Gerald J ,1
"Introduction to operations research : concepts and cases / Frederick S. Lieberman, Gerald J Hillier,",001.424 HIL;3,Hiller  Frederick S  Lieberman  Gerald J ,1
"Introduction to operations research : concepts and cases / Frederick S. Lieberman, Gerald J Hillier,",001.424 HIL;4,Hiller  Frederick S  Lieberman  Gerald J ,1
"Introduction to operations research : concepts and cases / Frederick S. Lieberman, Gerald J Hillier,",001.424 HIL;5,Hiller  Frederick S  Lieberman  Gerald J ,1
"Introduction to operations research : concepts and cases / Frederick S. Lieberman, Gerald J Hillier,",001.424 HIL;6,Hiller  Frederick S  Lieberman  Gerald J ,1
"Introduction to operations research : concepts and cases / Frederick S. Lieberman, Gerald J Hillier,",001.424 HIL;7,Hiller  Frederick S  Lieberman  Gerald J ,1
"Introduction to operations research : concepts and cases / Frederick S. Lieberman, Gerald J Hillier,",001.424 HIL;8,Hiller  Frederick S  Lieberman  Gerald J ,1
"Introduction to operations research : concepts and cases / Frederick S. Lieberman, Gerald J Hillier,",001.424 HIL;9,Hiller  Frederick S  Lieberman  Gerald J ,1
"Introduction to operations research : concepts and cases / Frederick S. Lieberman, Gerald J Hillier,",001.424 HIL1;14,Hiller  Frederick S  Lieberman  Gerald J ,1
"Introduction to operations research : concepts and cases / Frederick S. Lieberman, Gerald J Hillier,",001.424 HIL1;15,Hiller  Frederick S  Lieberman  Gerald J ,1
"Introduction to operations research : concepts and cases / Frederick S. Lieberman, Gerald J Hillier,",001.424 HIL1;16,Hiller  Frederick S  Lieberman  Gerald J ,1
"Introduction to operations research : concepts and cases / Frederick S. Lieberman, Gerald J Hillier,",001.424 HIL1;17,Hiller  Frederick S  Lieberman  Gerald J ,1
Operations research: with C programs,001.424 KAL;1 R,Kalavathy  S ,1
Operations research: with C programs,001.424 KAL;2 R1,Kalavathy  S ,1
An introduction to operational research,001.424 KOT;1 R,Kothari  C R ,1
An introduction to operational research,001.424 KOT;2 R1,Kothari  C R ,1
An introduction to operational research,001.424 KOT;3,Kothari  C R ,1
Operations research,001.424 NAI;1 R,Naidu  N V R  Rajendra  G  Rao  Krishna T ,1
Operations research,001.424 NAI;10,Naidu  N V R  Rajendra  G  Rao  Krishna T ,1
Operations research,001.424 NAI;2 R1,Naidu  N V R  Rajendra  G  Rao  Krishna T ,1
Operations research,001.424 NAI;3,Naidu  N V R  Rajendra  G  Rao  Krishna T ,1
Operations research,001.424 NAI;4,Naidu  N V R  Rajendra  G  Rao  Krishna T ,1
Operations research,001.424 NAI;5,Naidu  N V R  Rajendra  G  Rao  Krishna T ,1
Operations research,001.424 NAI;6,Naidu  N V R  Rajendra  G  Rao  Krishna T ,1
Operations research,001.424 NAI;7,Naidu  N V R  Rajendra  G  Rao  Krishna T ,1
Operations research,001.424 NAI;8,Naidu  N V R  Rajendra  G  Rao  Krishna T ,1
Operations research,001.424 NAI;9,Naidu  N V R  Rajendra  G  Rao  Krishna T ,1
Operations research,001.424 NAT;1 R,Natarajan  A M  Balasubramani  P  Tamilarasi  A ,1
Operations research,001.424 NAT;2 R1,Natarajan  A M  Balasubramani  P  Tamilarasi  A ,1
Operations research,001.424 PAN;1 R,Panneerselvam  R ,1
Operations research,001.424 PAN;1 R,Pannerselvam  R ,1
Operations research,001.424 PAN;2 R1,Pannerselvam  R ,1
Operations research : principles and practice,001.424 RAV;1 R,Ravindran  A  Phillips  Don T  Solberg  James J  Solberg  James J ,1
Operations research : principles and practice,001.424 RAV;2 R1,Ravindran  A  Phillips  Don T  Solberg  James J  Solberg  James J ,1
Operations research : principles and practice,001.424 RAV;3,Ravindran  A  Phillips  Don T  Solberg  James J  Solberg  James J ,1
Opeations Research,001.424 SHA,Sharma S D,1
Opeations Research,001.424 SHA,Sharma S D,1
Opeations Research,001.424 SHA R,Sharma S D,1
"Operations research : theory, methods and applications",001.424 SHA;1 R,Sharma  S D,1
Operation Research: Theory and Applications,001.424 SHA;1 R,Sharma  J K,1
Operations research,001.424 SHA;1 R,Sharma  Anand ,1
Operation Research: Theory and Applications,001.424 SHA;10,Sharma  J K,1
Operation Research: Theory and Applications,001.424 SHA;11,Sharma  J K,1
Operation Research: Theory and Applications,001.424 SHA;12,Sharma  J K,1
Operations research: theory and applications,001.424 SHA;13 R,Sharma  J K ,1
Operations research: theory and applications,001.424 SHA;14 R1,Sharma  J K ,1
Operations research: theory and applications,001.424 SHA;15,Sharma  J K ,1
Operations research: theory and applications,001.424 SHA;16,Sharma  J K ,1
Operations research: theory and applications,001.424 SHA;17 R,Sharma  J K ,1
Operations research: theory and applications,001.424 SHA;18 R1,Sharma  J K ,1
Operations research: theory and applications,001.424 SHA;19,Sharma  J K ,1
"Operations research : theory, methods and applications",001.424 SHA;2 R1,Sharma  S D,1
Operation Research: Theory and Applications,001.424 SHA;2 R1,Sharma  J K,1
Operations research,001.424 SHA;2 R1,Sharma  Anand ,1
Operations research: theory and applications,001.424 SHA;20,Sharma  J K ,1
Operations research: theory and applications,001.424 SHA;21,Sharma  J K ,1
Operations research: theory and applications,001.424 SHA;22,Sharma  J K ,1
Operations research: theory and applications,001.424 SHA;23,Sharma  J K ,1
Operations research: theory and applications,001.424 SHA;24,Sharma  J K ,1
Operations research: theory and applications,001.424 SHA;25,Sharma  J K ,1
Operations research: theory and applications,001.424 SHA;26,Sharma  J K ,1
Operations research: theory and applications,001.424 SHA;27,Sharma  J K ,1
Operations research: theory and applications,001.424 SHA;28,Sharma  J K ,1
Operations research: theory and applications,001.424 SHA;29,Sharma  J K ,1
"Operations research : theory, methods and applications",001.424 SHA;3,Sharma  S D,1
Operation Research: Theory and Applications,001.424 SHA;3,Sharma  J K,1
Operations research,001.424 SHA;3,Sharma  Anand ,1
Operations research: theory and applications,001.424 SHA;30,Sharma  J K ,1
Operation Research: Theory and Applications,001.424 SHA;4,Sharma  J K,1
Operations research,001.424 SHA;4,Sharma  Anand ,1
"Operations research : theory methods and applications / S D Sharma,",001.424 SHA;4 R1,Sharma  S D,1
Operation Research: Theory and Applications,001.424 SHA;5,Sharma  J K,1
"Operations research : theory methods and applications / S D Sharma,",001.424 SHA;5,Sharma  S D,1
Operations research,001.424 SHA;5,Sharma  Anand ,1
Operation Research: Theory and Applications,001.424 SHA;6,Sharma  J K,1
Operations research : theory methods and applications,001.424 SHA;6,Sharma  S D ,1
Operations research,001.424 SHA;6,Sharma  Anand ,1
Operation Research: Theory and Applications,001.424 SHA;7,Sharma  J K,1
Operations research : theory methods and applications,001.424 SHA;7,Sharma  S D ,1
Operations research : theory methods and applications,001.424 SHA;7,Sharma  S D ,1
Operation Research: Theory and Applications,001.424 SHA;8,Sharma  J K,1
Operations research : theory methods and applications,001.424 SHA;8,Sharma  S D ,1
Operation Research: Theory and Applications,001.424 SHA;9,Sharma  J K,1
Operations research : theory methods and applications,001.424 SHA;9,Sharma  S D ,1
Operation research & engineering management,001.424 SUD;1 R,Sudhi  M S  Niranjan A C,1
Operations Research,001.424 SWA;1 R,Swarup  Kanti  Gupta  P K  Mohan  Man ,1
Operations Research,001.424 SWA;2 R1,Swarup  Kanti  Gupta  P K  Mohan  Man ,1
"Operations research: an introduction / Taha, Hamdy A.",001.424 TAH;1 R,Taha  Hamdy A,1
Operations research: an introduction,001.424 TAH;11 R,Taha  Hamdy A ,1
Operations research: an introduction,001.424 TAH;12 R,Taha  Hamdy A ,1
Operations research: an introduction,001.424 TAH;13 R1,Taha  Hamdy A ,1
Operations research: an introduction,001.424 TAH;14,Taha  Hamdy A ,1
Operations research: an introduction,001.424 TAH;15,Taha  Hamdy A ,1
Operations research: an introduction,001.424 TAH;16,Taha  Hamdy A ,1
Operations research: an introduction,001.424 TAH;17,Taha  Hamdy A ,1
Operations research: an introduction,001.424 TAH;18,Taha  Hamdy A ,1
Operations research: an introduction,001.424 TAH;19,Taha  Hamdy A ,1
Operations research: an introduction,001.424 TAH;20,Taha  Hamdy A ,1
Operations research: an introduction,001.424 TAH;21,Taha  Hamdy A ,1
Operations research: an introduction,001.424 TAH;22,Taha  Hamdy A ,1
Operations research: an introduction,001.424 TAH;23,Taha  Hamdy A ,1
Operations research: an introduction,001.424 TAH;24,Taha  Hamdy A ,1
Operations research: an introduction,001.424 TAH;25,Taha  Hamdy A ,1
Operations research: an introduction,001.424 TAH;26,Taha  Hamdy A ,1
Operations research,001.424 VER;1 R,Verma  A P ,1
Operations research,001.424 VER;2 R1,Verma  A P ,1
Operations research,001.424 VER;3 R,Verma  A P ,1
Operations research,001.424 VER;4 R1,Verma  A P ,1
Operations research applications and algorithms,001.424 WIN; 12,Winston  Wayne L ,1
Operations research applications and algorithms,001.424 WIN;1 R,Winston  Wayne L ,1
Operations research applications and algorithms,001.424 WIN;10,Winston  Wayne L ,1
Operations research applications and algorithms,001.424 WIN;11,Winston  Wayne L ,1
Operations research applications and algorithms,001.424 WIN;13,Winston  Wayne L ,1
Operations research applications and algorithms,001.424 WIN;2 R1,Winston  Wayne L ,1
Operations research applications and algorithms,001.424 WIN;3,Winston  Wayne L ,1
Operations research applications and algorithms,001.424 WIN;4,Winston  Wayne L ,1
Operations research applications and algorithms,001.424 WIN;5,Winston  Wayne L ,1
Operations research applications and algorithms,001.424 WIN;6,Winston  Wayne L ,1
Operations research applications and algorithms,001.424 WIN;7,Winston  Wayne L ,1
Operations research applications and algorithms,001.424 WIN;8,Winston  Wayne L ,1
Operations research applications and algorithms,001.424 WIN;9,Winston  Wayne L ,1
Sample survey designs:Theory and analysis / Daroga Singh. F S Chaudhary,001.433 DAR;1 R1,Daroga Singh  Chaudhary F S,1
Sample survey designs:Theory and analysis / Daroga Singh. F S Chaudhary,001.433 DAR;2 R1,Daroga Singh  Chaudhary F S,1
Content analysis : an introduction to its methodology,001.51 KRI;1 R,Krippendorff  Klaus ,1
Introduction to fuzzy control,001.53 DRI;1 R,Driankov  Dimiter  Hellendoorn  Hans  Reinfrank  Michael ,1
Introduction to fuzzy control,001.53 DRI;2 R1,Driankov  Dimiter  Hellendoorn  Hans  Reinfrank  Michael ,1
Introduction to fuzzy control,001.53 DRI;3,Driankov  Dimiter  Hellendoorn  Hans  Reinfrank  Michael ,1
Fuzzy topology,001.53 PAL;1 R,Palaniappan  N,1
Fuzzy topology,001.53 PAL;2 R1,Palaniappan  N,1
Fuzzy topology,001.53 PAL;3,Palaniappan  N,1
Introduction to Artificial Intelligence,001.535 CHA;1 R,Charniak  Engene,1
Artificial intelligence illuminated,001.535 COP;1 R,Coppin  Ben,1
"Bio-inspired artificial intelligence: theories, methods, and technologies",001.535 FLO;1 R,Floreano  Dario  Mattiussi  Claudio ,1
"Bio inspired artificial intelligence: theories, methods, and technologies",001.535 FLO;1 R,Floreano  Dario  Mattiussi  Claudio ,1
Artificial intelligence: a systems approach,001.535 JON;1 R,Jones  Tim A ,1
Artificial intelligence: a systems approach,001.535 JON;2 R1,Jones  Tim A ,1
Artificial intelligence,001.535 KAU;1 R,Kaushik  Saroj ,1
Artificial Intelligence structures and strategies for Complex Problem solving,001.535 LUG;1 R,Lurger  George F,1
Artificial intelligence: structures and strategies for complex problem solving,001.535 LUG;1 R,Luger  F George,1
Artificial Intelligence structures and strategies for Complex Problem solving,001.535 LUG;2 R1,Lurger  George F,1
Artificial intelligence: structures and strategies for complex problem solving,001.535 LUG;2 R1,Luger  George F ,1
